"LOCATION"	"Country"	"VARIABLE"	"Variable"	"FREQUENCY"	"Frequency"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016_17"	"2016-17"	-6.76095517306002		
"AUT"	"Austria"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-7.12727067088581		
"BEL"	"Belgium"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-11.1408000355987		
"CAN"	"Canada"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-9.88868737888272		
"CZE"	"Czech Republic"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-13.6457320596651		
"DNK"	"Denmark"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-7.17912449436327		
"FIN"	"Finland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-10.0334754616967		
"FRA"	"France"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2014"	"2014"	-14.0677458509108		
"DEU"	"Germany"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-9.75474776341369		
"GRC"	"Greece"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-11.2419476494756		
"HUN"	"Hungary"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2005"	"2005"	-9.9561095931211		
"ISL"	"Iceland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2005"	"2005"	-11.3003306159085		
"IRL"	"Ireland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-8.58545651309889		
"ITA"	"Italy"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-13.6324860049063		
"JPN"	"Japan"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2011"	"2011"	-8.53279932429674		
"KOR"	"Korea"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-2.48124207915676		
"LUX"	"Luxembourg"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-7.70783002617641		
"MEX"	"Mexico"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2013"	"2013"	-8.61001721119437		
"NLD"	"Netherlands"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-9.96449067362181		
"NZL"	"New Zealand"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2009_10"	"2009-10"	-10.3609385244956		
"POL"	"Poland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.7952243756811		
"PRT"	"Portugal"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-11.4480855686092		
"SVK"	"Slovak Republic"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-11.1426374737556		
"ESP"	"Spain"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-14.3600644838269		
"SWE"	"Sweden"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-7.75596017297071		
"CHE"	"Switzerland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-10.4636415919243		
"TUR"	"Turkey"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2009"	"2009"	-8.54075563976462		
"GBR"	"United Kingdom"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-13.9939193084603		
"USA"	"United States"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-8.81387592732743		
"OTO"	"OECD - Total"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-9.61140150725902		
"BRA"	"Brazil"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2000"	"2000"	-9.07938986640596		
"CHL"	"Chile"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2013"	"2013"	-7.06890318430786		
"CHN"	"China (People's Republic of)"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-3.66967457547584		
"COL"	"Colombia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.90652871032208		
"CRI"	"Costa Rica"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-4.91998607648974		
"EST"	"Estonia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-10.0739648543987		
"IND"	"India"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2011_12"	"2011-12"	-6.08720424485585		
"IDN"	"Indonesia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-3.85553693557473		
"ISR"	"Israel"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-8.33553575164426		
"LVA"	"Latvia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-10.1970805569524		
"RUS"	"Russia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-10.034133269942		
"ZAF"	"South Africa"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-8.1902432827524		
"WLD"	"World"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.66113772299495		
"NOR"	"Norway"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-7.53665079201926		
"ARG"	"Argentina"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2004"	"2004"	-10.0560785251354		
"SVN"	"Slovenia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.11935455081094		
"LTU"	"Lithuania"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-10.3773811805994		
"EA17"	"Euro area (17 countries)"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-11.7084240772576		
